country_code_3,country_name,year,gdp_per_capita_ppp,gdp_growth_annual_pct,general_government_final_consumption_expenditure_pct_gdp,inflation_gdp_deflator_annual_pct,unemployment_rate_pct,population_total,population_growth_annual_pct,urban_population_pct,urban_population_growth_annual_pct,life_expectancy_years,fertility_rate_births_per_woman,under_5_mortality_rate_per_1000,access_to_electricity_pct,co2_emissions_per_capita,mean_years_of_schooling_adults,internet_users_pct_population,trade_pct_gdp,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp
CPV,Cabo Verde,2014,-0.5387072431440997,-0.284790130930001,0.6157618954597032,-0.6051619117969879,0.812556452675922,-1.705814446863455,-0.8098661421775468,0.2575944877890775,-0.2721921658642243,0.24677810976466102,-0.4924140080804336,0.1585474128903693,0.6697203051088788,-0.7649667306052469,-0.8412093308633979,-0.17136099919383535,0.3381170651828506,-0.11542303170093379,-1.2192233364403002,1.1745002718428796
CRI,Costa Rica,2014,0.3581364489630981,0.21494405375064307,0.19930222811284537,0.522463114674939,0.38143728672840876,-0.40564686374267667,-0.22402204757457206,0.6587799689892492,-0.19771576269105737,1.0067807164226799,-0.7271627014735585,-0.5723799177448106,-0.6417010732738685,-0.4391512534680079,0.0516053971533703,0.2669704002135955,-0.35803501405460497,-0.26065389111238113,-0.5401057038375142,1.0883471191497247
CYP,Cyprus,2014,0.8466669449703312,-0.9003418958548282,0.20918507356540075,-0.946072479458182,1.272101914185484,-1.208829520398262,0.012552725429051866,0.31836482275639544,-0.39559172512695984,1.137242129268214,-1.2942636081062526,-1.5686214831203371,-0.911607098950596,0.6308023193616255,1.0058290512401917,0.8287741313729843,1.0845090092551382,-1.0464642777199151,-2.263856505049594,1.924601836905114
CZE,Czechia,2014,0.9403863529967119,0.1304221300375254,0.5482381044025795,-0.03923668482673444,-0.050302277826499694,0.05603144002787652,-0.7623662879306007,0.5946552622038996,-1.0090677051065442,0.8408600147022434,-1.027435052179223,-1.4442143104173244,-0.911607098950596,1.1686985404680055,1.2375255295488128,0.9974668402695228,1.45560338595687,-0.8562117778429372,0.6909883655807066,0.0008190408234789577
DEU,Germany,2014,1.282301941741663,0.02169672231309051,0.5820256181948001,-0.18597645051559825,-0.3078395263466931,1.2453968521550576,-0.5893805185526076,0.9402715483494312,-0.77100578083551,1.108135303665991,-1.0985087625024545,-1.254378659868614,-0.911607098950596,1.1509262054121154,1.6643348316962723,1.4090300032134258,-0.01844645160964156,-1.4737205746970963,0.055862567797838665,0.6984464046006633
DJI,Djibouti,2014,-0.9483753170955815,1.0236420359099483,0.5091839997556584,-0.29408791689037317,1.9456495809364365,-1.314396368716083,0.1787787725847135,0.4925031308624094,-0.1412275039380477,-1.093341339908124,0.41370037704292334,1.2451903567317826,1.2361665749472193,-1.1296046798910013,-1.657543398841652,-0.971642496002876,2.8026220283964243,-1.3124021736758764,-1.9047764255922885,2.3367701844408995
DNK,Denmark,2014,1.311679074344836,-0.25950733916642155,1.3617511301736178,-0.35632882940335336,0.11169580046364126,-0.3072788094058253,-0.5393190208093687,1.2688066197689138,-0.7159882293588099,1.0621029611103436,-0.8458448397428323,-1.2354357178018331,-0.911607098950596,0.7700624240776536,1.1613095827367663,1.7462012394585253,0.5921166808964518,-1.2513463193542516,-0.6647910462689166,1.0330799186015742
DOM,Dominican Republic,2014,0.1828453786817465,1.1849239197838142,-1.1026595381959843,0.21420273211827642,0.07248101408716426,0.044294265129279066,-0.16198824726403924,0.6452097162971718,-0.4989328269007428,0.17093119433999754,-0.10812669862816551,0.6313413231960961,-0.38541458805134343,-0.2619977435677986,-0.28374476881963384,0.14930223803585296,-0.6835205401729643,-0.2698822573498925,0.27549434585953386,0.5304481714951469
DZA,Algeria,2014,0.07724563454811753,0.0913185014523166,0.5020892261745009,-0.27050913632781776,0.6276355205913882,0.8225487769082191,0.31051690192390463,0.4304160917783287,0.30047774117161025,0.3887993946344827,0.390587967470675,0.3373119375987543,-0.6068865533117792,0.26479616423908153,-0.7501555720668459,-0.54156857370549,-0.6373524356253117,0.3546927379614821,1.041960936268212,-0.6058348106258856
ECU,Ecuador,2014,0.016218099990961514,0.3028086941772835,-0.1917130599801003,-0.15665778567344255,-0.7375908640007409,0.30142728532410124,-0.02579874927407343,0.12421087756852613,-0.3395282287726144,0.5243329962253666,-0.2640418011706755,-0.08937420543682299,-0.513557830662605,-0.03991541870313432,-0.06729147987342228,0.01203602031738983,-0.48062819299716003,0.12379240118066653,0.8492700567946851,-0.15902708269321741
EGY,Egypt,2014,-0.04393760403887137,-0.3067491652123041,-0.7800694922938064,1.2230013786069112,0.9700765013643154,1.3537646202439704,0.44296232047463374,-0.8114999088768969,-0.05799396882156694,-0.21054458246149707,0.6712439889023126,0.39700831057251545,-0.8069064461738865,-0.16727132247199972,-0.07560602994304182,-0.39036821041156483,-1.5242234251249887,0.5385381072245292,1.1271287756689257,-0.2055340116111479
ESP,Spain,2014,0.9659266692195657,0.04411136402561527,0.5720777857224895,-0.6353824794815255,1.8482982505824586,0.9215256952741143,-0.9919708098171467,0.872958661987624,-1.081056665471045,1.3604500812991505,-1.2840347121188997,-1.376662441434314,-0.911607098950596,0.5733141204223644,0.34732327078411057,1.0647303102360821,-0.4154918952508184,-0.8142772147364086,-0.6066863420973438,1.2791244810009808
EST,Estonia,2014,0.8372332663683664,0.5444054462636053,0.4217836470547843,-0.013070126370743264,0.18983311904753042,-1.1565617490282905,-0.9664040126799416,0.3712409586745535,-1.020864268555595,0.6296866432281993,-1.0157535283764383,-1.376662441434314,-0.911607098950596,1.5486160473286137,1.481416559347361,1.341863720068229,1.475968695262285,-0.6477021693362613,-0.13027589617960425,0.4812659659584173
ETH,Ethiopia,2014,-1.7843577560715225,1.6087199220470656,-1.4358021482007355,1.1881165880600635,-1.1654873092908922,1.3748177791137766,0.6686646380803726,-1.9051099282763582,1.1902845386767276,-1.0343624010086967,1.3280708171057891,1.2521778773162344,1.5585071044671694,-1.3998756425378098,-1.9074267397832145,-1.2916175007636608,-1.3232472370410002,1.7962177321799477,-1.550474815633429,-1.3318408816519776
FIN,Finland,2014,1.1799819812910486,-0.7297915382412705,1.2289697941406197,-0.2331168327434096,0.40692430049087697,-0.32638279336924014,-0.5912220475628952,0.4970342238510881,-0.6292796024253744,1.1187802828819937,-0.8239094620811439,-1.5686214831203371,-0.911607098950596,1.038529799881971,1.225330978058885,1.4206142024078163,-0.07902921128298243,-0.9134642542215953,-0.2397787840884595,0.57027601841129
FJI,Fiji,2014,-0.1857247863349699,1.075210459329602,0.6445621695003168,1.385621948259409,-0.4808778483896214,-1.3661127467124992,-0.7461628758636979,-0.2844281093398219,-0.5112551068738154,-0.6033443155316822,0.009632851103205414,0.1453528959127314,0.282540705913377,-0.5909023903189676,0.4976211178974657,-0.2697618021724941,0.7395068411113025,0.20952418195329064,-1.289559099363399,0.08650475236373155
FRA,France,2014,1.1392097757029644,-0.3295375585879972,1.1923053593532826,-0.45033253241497906,0.6363783944688233,1.1288988377942275,-0.5571979882201442,0.7912605062344893,-0.7388498119940444,1.3003203338358398,-0.5228567022409261,-1.2354357178018331,-0.911607098950596,0.5080530012242845,0.8076675895288709,1.3249900841538294,-0.4548686439954651,-1.2028209921084765,-0.9395312759309252,1.4353354134853182
GAB,Gabon,2014,0.32673259094797424,-0.22994169168487724,-0.1715463518347958,-0.8048067713446146,1.5536299635366018,-0.9182759848780307,1.0436388739851645,1.266088492291357,0.7531315915047556,-0.663620791086898,0.9618645115797032,0.8849765347544886,0.5997911385570877,-0.0002694077656251157,0.035752480216464766,-0.2466685600660555,-0.10991101136886428,-0.5223553793612068,1.8306918301098154,-1.9854799263177523
GBR,United Kingdom,2014,1.129292966537933,0.20280503619329393,0.5943084581320934,-0.24241478883182627,0.009238366451499537,1.1138232003655861,-0.40602992776433294,0.9892668563587566,-0.5797106341178061,1.1334530920716024,-0.7166056049305392,-1.1632061509179408,-0.911607098950596,0.7857890912723522,1.3137414763608593,1.5954963024936728,-0.5698736364564893,-1.5788689878904172,-0.801857905239032,1.4104555511987886
GEO,Georgia,2014,0.04156047444090943,0.6716034029390976,-0.1412782919924929,0.2740647470031251,1.3690193584313637,-0.5503073235178101,-0.794744895368274,-0.14851740377051345,-0.6727339231043805,0.1662128792280443,-0.35030717296506714,-0.41691637140894133,-0.911607098950596,-0.14782043892279872,1.2314282538038486,0.13287179315104736,0.41923547514987075,0.33342873656670824,-0.8254876569203232,0.5944413870046293
GHA,Ghana,2014,-0.791993114845258,-0.3486209267875478,-1.7278455452688388,2.7315962019448996,-0.45866697765017933,0.6272113231899592,0.4921189402711619,-0.331465797704042,0.543567096630974,-1.0455683993995877,1.0069577383093677,1.054944094938575,0.8814537521608012,-1.0857555944326585,-0.8227590659182737,-0.9028306684352942,-0.40132444396729705,1.0914993047840766,0.7186585117794932,-1.556425261716614
GIN,Guinea,2014,-1.3946325004811277,-0.14850164461542764,0.32254576633204973,-0.05522384235911727,-0.2917401120053067,0.1062789821654323,0.5560770506082663,-1.1750814142922583,0.4170163923875838,-1.6649652157213721,1.5640820970163822,1.756570427786622,1.5072649029765386,-1.3101201692493907,-2.045857459114147,-1.3363451788424974,-0.020501581274366822,0.9775826550749028,0.38776744357610754,-1.0181724960771465
GMB,Gambia,2014,-1.517773449442588,-1.663154293150362,-1.555028428518348,0.3714371469798513,0.3323593755214422,-0.8658653699862887,0.7584666205613525,-0.07499363417624333,0.7744111641909871,-1.0757656161160944,1.6254000668319073,1.1601695558924883,1.311483137877329,-1.2852329215436498,-1.495004782888222,-1.021186997401051,-0.5896725262699729,1.2327468534656167,-1.596573225692701,0.1676137881344801
GNB,Guinea-Bissau,2014,-1.6356572212107638,-0.9471684074730252,0.2643857060102002,-0.3004286025736385,-0.8038521247994052,-0.9927455508852933,0.6377502042261194,-0.8556650909010771,0.6440246885750368,-1.4414350372925435,1.424232588523923,1.5742418459522272,1.6314812489945119,-1.4327731723606651,-1.564008353680687,-1.4423153988703314,-1.0364525713083184,1.6901831931010793,-1.3433200724059708,-0.9811807406827635
GNQ,Equatorial Guinea,2014,0.7338837527177319,-1.4522527232643034,0.02596192819979467,-0.9269263218983482,0.24529948943651625,-1.119921708323351,1.3470743546991848,0.2460747623985436,3.1328572020407357,-1.3527307131878046,1.4613346199790245,1.5752357029918358,1.1301002527863668,0.5784583041124699,-0.2418462410284817,-0.9076474753774175,0.6154564239137674,-1.2788593986280619,2.5564364153452126,-2.317123106738582
GRC,Greece,2014,0.7184273393574427,-0.060517939166745215,0.7564111720318963,-1.1256436446601832,1.9753923368254724,0.07601315116273523,-1.190606784179286,0.789439952060947,-1.1922293857400668,1.1429472627237,-1.3096735081572035,-1.216860623197603,-0.911607098950596,0.8497549075454062,0.6156034035625136,0.6181632766771549,-0.31910870805110764,-0.5430651338876203,-1.4333043714172635,1.446942784432591
GTM,Guatemala,2014,-0.2367796338389497,0.22866965729518549,-0.9174305373701849,-0.012404704224444162,-1.015583938540163,0.28843716141344344,0.23126708816421976,-0.3277902061183112,0.15477664624394183,-0.08893001045087913,0.3934869030364268,0.4659518044402839,0.6623578490659735,-0.8253258223277763,-0.8355482237388501,-0.7514446608608617,-0.7049422532372999,0.42184391239957314,-0.22579857482123197,0.5717648748348108
HND,Honduras,2014,-0.7785995067917977,-0.16982900825972064,-0.08450855489607396,0.617220740996606,0.14016718556194263,-0.03115367883903868,0.25440021753184616,-0.2939984693248469,0.3015631335531234,-0.07831380144898183,0.17169252079034591,0.1672437210969466,0.5295646725032177,-0.7142474360647648,-0.731894536074467,-0.7652070133001307,0.7796139522778603,0.6388645004439643,-0.0890485195007301,0.5042841241236574
HRV,Croatia,2014,0.6369675310451591,-0.4187585023546752,1.0424412252866526,-0.5496504938188849,1.350330249466273,-0.47925316942318763,-1.2462713922236497,-0.2208465713192868,-1.2894393341252914,0.7111063491235042,-1.1105220140448533,-1.079972171465964,-0.911607098950596,0.3307256206733822,0.8577509173617898,0.8025981997017815,0.19529598122057015,-0.694714224047051,-0.5118498509503887,0.44755685542359375
HTI,Haiti,2014,-1.23361166413231,-0.08142182552350494,-1.923237598411315,-0.12629806600424445,1.0424955992614728,0.047546000068498545,-0.007441538959447898,-0.5299715556684482,0.27235599458558984,-1.0294081701411446,0.4480342392693912,1.29572849064211,1.4528719295877426,-1.2612738209604517,-1.0522374772563918,-1.1643156262663523,-1.2439974237756852,0.9952801344943922,0.11018101871675406,-0.2516074908943456
HUN,Hungary,2014,0.6912466043776339,0.8745248315066501,0.6409244432181982,0.12827224906791238,0.25488676915888303,0.01637221853773518,-1.0444760558781874,0.4655608564407019,-0.9552963108252617,0.47979382778135954,-1.1225841995371324,-1.0333001193454572,-0.911607098950596,0.38201857208084206,0.9722940346428909,1.0463743587572274,1.6086986582864573,-0.4491283344077567,0.027183760469680466,0.025807695190251456
IDN,Indonesia,2014,-0.24089389510929204,0.5971507373060361,-1.3865793445778758,0.4070605571178175,-0.5595633014196735,1.9227912185636213,-0.1683055680273052,-0.3576373570191873,0.09791380114916479,-0.283560508818988,-0.1583187891038048,0.4037926462054446,-0.11550856237461397,-0.31376113965242497,-0.23801520073240615,-0.9667169510606168,-0.9841720747716701,0.7007677704942015,1.2525089491794568,-1.1188691940409854
IND,India,2014,-0.7482568803895199,1.2464246772815082,-1.1169003142905867,0.06833381812762246,0.2430650142952883,2.8689251420979147,-0.12060156634756543,-1.2947673468782461,0.006120576999371725,-0.32602534482657547,-0.24690638365002082,0.8971625252132209,0.6769895630008286,-0.4300349966139699,-0.9109306729565598,-1.092063194246144,-0.9485617888715316,0.9340321491812277,0.21068494604991098,-0.613192064076936
IRL,Ireland,2014,1.3708404627504451,1.9641482836517379,0.031035856837959508,-0.5196199381740382,0.8322561007981475,-0.4191768895179254,-0.4149934081236871,0.10628127897676157,-0.591273992019787,1.1386317306091152,-0.6334769899961483,-1.2934284619823373,-0.911607098950596,0.9407463296355711,0.8030946327201479,1.3160659699968413,2.0806165698331127,-1.3157031767652898,-0.09734107942665567,1.1393308885068276
IRN,Iran,2014,0.08822680601100305,0.5415646623279379,-0.5689231000341681,1.0250826471390275,0.6891871353336387,1.2491244807062265,-0.07516845107539538,0.5823035125530847,-0.07735415367201313,0.4646463100591462,-0.5476372857115879,-0.07812010722380658,-0.911607098950596,0.9399553917860858,0.4692687856833844,-0.20254596258007634,-1.1039244238521606,0.3517145205569862,1.0850477514469277,-0.4742474205360701
IRQ,Iraq,2014,-0.01748560647582448,-0.8421926432971596,0.35469762834130214,-2.124347681566843,0.6776697571223015,0.781674877559653,1.1394469190680634,0.43595377607603447,0.7295716178922195,-0.23791081011083123,1.167963585310912,0.5001748378542303,-0.5740625507859192,0.23543793344035416,-0.6138546311536291,-1.155874922855228,-0.24143625249659978,-0.25306166408281566,1.9518535863287911,-1.3118842577887784
ISL,Iceland,2014,1.2969974928738948,-0.25366992313521053,1.2167804540432332,0.2136639020609707,-0.32840107880719477,-1.9668470348853324,-0.203200396028523,1.543281954886635,-0.5115588638046995,1.317007058012258,-0.5927717106641329,-1.5686214831203371,-0.911607098950596,1.229818612348567,1.4326383533876512,1.8206734568539582,0.42658007691831373,-0.19649168379719814,-0.5047104396918211,0.8368440126653427
