country_code_3,country_name,rank,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GBR,United Kingdom,3,0.9273 (DEU),0.9132 (SWE),0.9369 (DEU),0.9372 (CAN),0.9295 (CAN),0.9252 (CAN),0.9170 (CAN),0.9073 (CAN),0.8968 (CAN),0.8912 (JPN),0.8659 (CAN),0.8897 (JPN),0.8654 (ISR),0.8613 (NLD),0.8735 (JPN)
GEO,Georgia,1,0.7191 (MKD),0.7728 (LVA),0.8163 (MKD),0.8066 (MNE),0.8280 (MKD),0.8277 (MKD),0.8637 (MKD),0.8092 (MKD),0.8810 (ARM),0.8732 (MKD),0.8357 (MKD),0.8371 (MNE),0.9440 (ARM),0.9291 (ARM),0.8164 (ARM)
GEO,Georgia,2,0.7026 (ARM),0.7577 (MKD),0.7851 (LVA),0.7759 (MKD),0.7822 (LVA),0.7996 (MNE),0.8489 (MNE),0.7990 (MNE),0.8340 (MKD),0.8715 (ARM),0.8342 (ARM),0.7740 (SRB),0.8116 (MNE),0.8432 (MNE),0.5547 (MLT)
GEO,Georgia,3,0.6659 (SRB),0.7495 (ARM),0.7556 (ALB),0.7555 (LVA),0.7791 (MNE),0.7672 (LVA),0.8226 (LVA),0.7925 (ARM),0.8117 (LVA),0.8304 (MNE),0.7884 (LVA),0.7667 (ARM),0.7473 (HRV),0.7385 (SRB),0.4986 (KGZ)
GHA,Ghana,1,0.9009 (COD),0.8730 (TZA),0.9045 (TZA),0.7565 (TZA),0.8103 (SLE),0.8245 (TZA),0.8586 (HTI),0.8551 (SLE),0.8632 (TCD),0.8752 (TZA),0.8704 (TZA),0.8555 (TCD),0.8536 (SLE),0.8702 (SLE),0.8297 (SLE)
GHA,Ghana,2,0.8869 (SLE),0.8558 (ETH),0.8992 (SLE),0.7090 (MWI),0.7809 (TZA),0.8131 (HTI),0.8553 (TZA),0.8450 (TZA),0.8588 (SLE),0.8726 (SLE),0.8426 (TCD),0.8486 (SLE),0.8159 (ETH),0.8046 (CIV),0.7919 (ETH)
GHA,Ghana,3,0.8668 (TZA),0.8284 (BFA),0.8928 (GIN),0.6936 (ZMB),0.7278 (CIV),0.8089 (UGA),0.8450 (SLE),0.8058 (GIN),0.8535 (ETH),0.8472 (ETH),0.8331 (CIV),0.8474 (CIV),0.8145 (TCD),0.8028 (ETH),0.7516 (CIV)
GIN,Guinea,1,0.9189 (BFA),0.9697 (BFA),0.9626 (BFA),0.9209 (MOZ),0.9706 (BFA),0.9753 (BFA),0.9103 (BFA),0.9001 (BFA),0.9275 (BFA),0.9360 (MLI),0.9467 (BFA),0.9465 (MOZ),0.9592 (BFA),0.9607 (MLI),0.9519 (BFA)
GIN,Guinea,2,0.9002 (MOZ),0.9215 (TCD),0.9176 (NER),0.9140 (NER),0.9232 (MLI),0.9301 (MOZ),0.8643 (MOZ),0.8744 (MOZ),0.9157 (MOZ),0.9314 (BFA),0.9414 (MOZ),0.9230 (MLI),0.9417 (MLI),0.9456 (MOZ),0.9492 (MLI)
GIN,Guinea,3,0.8983 (COD),0.9011 (MLI),0.9117 (TCD),0.9118 (MLI),0.9109 (TGO),0.9236 (MLI),0.8636 (TGO),0.8713 (CAF),0.9069 (TCD),0.9224 (MOZ),0.9214 (MLI),0.8897 (MDG),0.9338 (MOZ),0.9330 (BFA),0.9255 (MOZ)
GMB,Gambia,1,0.8903 (GNB),0.8495 (CIV),0.9017 (COM),0.8987 (COM),0.8673 (COM),0.8703 (SLE),0.9066 (SLE),0.9381 (SLE),0.8835 (SLE),0.9390 (SLE),0.9328 (SLE),0.9294 (SLE),0.8892 (SLE),0.8878 (BEN),0.8848 (CAF)
