country_code_3,country_name,rank,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MDV,Maldives,1,3.8445 (BLZ),3.7291 (BLZ),3.5212 (BLZ),3.3909 (BLZ),3.5041 (BLZ),3.1457 (BLZ),3.3926 (BLZ),3.5127 (BLZ),3.6115 (CYP),3.3977 (BLZ),4.4681 (CPV),4.6635 (BLZ),2.9386 (BLZ),2.8291 (CYP),2.5581 (CYP)
MDV,Maldives,2,3.9237 (CPV),3.8548 (CPV),3.7302 (LBN),3.9054 (CPV),3.9179 (MUS),4.0012 (CPV),3.9378 (MLT),3.7706 (CYP),3.8340 (MUS),3.5202 (CYP),4.6046 (BLZ),5.5082 (CYP),3.0180 (CYP),2.9077 (MUS),2.7779 (BLZ)
MDV,Maldives,3,3.9329 (PAN),4.0269 (PAN),3.8786 (CPV),3.9488 (MUS),4.0265 (MLT),4.0193 (CYP),4.0039 (CYP),3.9422 (CRI),3.8675 (MLT),3.9469 (MUS),4.9571 (PAN),5.5272 (PAN),3.1598 (MUS),3.1010 (MNE),2.7780 (MUS)
MEX,Mexico,1,2.1121 (ECU),1.9707 (DOM),1.9812 (DOM),1.9492 (CHL),1.9547 (CHL),2.0353 (CHL),2.2445 (TUR),2.2427 (PER),2.2848 (PER),2.2090 (PER),2.1579 (DOM),2.1811 (ECU),2.0316 (PER),1.9435 (ECU),2.1169 (PER)
MEX,Mexico,2,2.1262 (DOM),2.0721 (CHL),2.0157 (ECU),2.1529 (DOM),1.9924 (PER),2.0551 (COL),2.2575 (PER),2.3155 (DOM),2.5311 (ECU),2.4538 (ECU),2.2387 (PER),2.4042 (MYS),2.1024 (ECU),2.1292 (DOM),2.1677 (ECU)
MEX,Mexico,3,2.1533 (CHL),2.1450 (COL),2.0801 (COL),2.1638 (COL),2.0280 (ECU),2.0728 (PER),2.2997 (COL),2.6075 (COL),2.6282 (TUR),2.4999 (CHL),2.2674 (MYS),2.4567 (PHL),2.2415 (DOM),2.2032 (PER),2.3379 (DOM)
MKD,North Macedonia,1,1.8296 (BIH),1.8786 (BIH),1.8322 (BIH),1.6401 (SRB),1.8000 (BIH),1.6163 (SRB),1.5492 (SRB),1.5849 (SRB),1.6679 (ARM),1.6589 (SRB),1.5174 (BIH),1.6648 (BIH),1.6766 (BIH),1.4719 (BIH),1.5650 (BIH)
MKD,North Macedonia,2,1.8360 (SRB),1.9826 (SRB),1.8471 (MNE),1.8557 (MNE),1.9076 (GEO),1.7795 (ARM),1.7354 (GEO),1.9067 (BIH),1.8181 (SRB),1.6605 (BIH),1.7308 (SRB),1.6674 (SRB),1.9173 (LVA),1.5919 (SRB),1.7513 (SRB)
MKD,North Macedonia,3,1.9332 (MNE),2.2011 (HRV),1.9388 (HRV),2.0403 (BIH),1.9353 (ARM),1.8313 (BIH),1.8095 (ARM),2.0309 (GEO),1.8740 (BIH),1.6905 (ARM),1.9748 (ARM),1.8506 (ARM),2.2136 (MNE),2.0619 (HRV),2.1070 (LTU)
MLI,Mali,1,1.5332 (BFA),1.7727 (BFA),1.5916 (BFA),1.3103 (NER),1.6050 (NER),1.5916 (NER),1.7300 (NER),1.5057 (NER),1.7950 (NER),2.2250 (GIN),1.8191 (TCD),2.2138 (TCD),2.1358 (GIN),1.7907 (GIN),1.9102 (BFA)
MLI,Mali,2,1.6766 (NER),1.9720 (NER),1.8071 (NER),1.5950 (BFA),1.6459 (BFA),1.8811 (BFA),1.9272 (BFA),2.2114 (BFA),2.0348 (TCD),2.3920 (UGA),2.4090 (MOZ),2.2843 (MOZ),2.1595 (TCD),2.0759 (BFA),2.0502 (GIN)
MLI,Mali,3,1.9818 (BEN),2.1825 (MDG),1.9854 (BEN),1.9641 (BEN),2.1103 (BEN),2.2347 (TZA),2.2115 (BEN),2.3913 (BEN),2.3672 (BEN),2.4185 (BEN),2.4458 (BFA),2.4196 (NER),2.1821 (BFA),2.2535 (MDG),2.2990 (MDG)
MLT,Malta,1,2.6859 (BEL),2.3686 (CYP),2.4468 (BEL),2.7607 (BEL),2.9424 (LUX),2.8504 (CYP),2.6192 (LUX),3.0746 (CYP),3.0752 (LUX),3.0223 (LUX),2.3103 (LUX),2.1333 (CYP),2.1830 (LUX),3.4880 (LUX),2.6859 (CYP)
MLT,Malta,2,2.7405 (CYP),2.4969 (BEL),2.5382 (CYP),2.8951 (LUX),3.0595 (BEL),3.2324 (LUX),2.9716 (CYP),3.7177 (LUX),3.2130 (CYP),3.8607 (CYP),2.3696 (CYP),2.9458 (LUX),2.7012 (CYP),3.4902 (CYP),2.7535 (LUX)
MLT,Malta,3,2.9700 (EST),2.6446 (DNK),2.7370 (BHS),2.9034 (DNK),3.2221 (CYP),3.7337 (NLD),3.3420 (BEL),4.1781 (NLD),3.7509 (ISL),4.0164 (ISL),3.3164 (BEL),3.0698 (BEL),3.1553 (DNK),4.1494 (SGP),3.1029 (SGP)
MNE,Montenegro,1,1.9332 (MKD),2.1769 (HRV),1.8471 (MKD),1.8433 (HRV),1.9621 (LVA),1.9673 (LVA),1.9548 (LVA),1.8873 (LVA),1.7877 (LVA),2.0562 (LVA),2.3734 (HRV),2.0828 (HRV),2.0687 (HRV),2.2410 (GEO),2.1102 (LVA)
MNE,Montenegro,2,2.2115 (SRB),2.2644 (MKD),1.9045 (HRV),1.8557 (MKD),2.0773 (HRV),2.1055 (HRV),2.0387 (GEO),2.2739 (GEO),2.1482 (HRV),2.0947 (GEO),2.5127 (GRC),2.1150 (LVA),2.2041 (LVA),2.2877 (MKD),2.1284 (MKD)
MNE,Montenegro,3,2.2251 (HRV),2.7861 (CYP),2.2780 (CYP),1.8767 (LVA),2.1943 (MKD),2.2898 (GEO),2.2098 (HRV),2.3070 (MKD),2.2298 (MKD),2.1311 (MKD),2.6667 (LVA),2.2758 (GEO),2.2136 (MKD),2.3348 (HRV),2.2266 (EST)
